50 1225
0 1 37
0 2 30
0 3 81
0 4 19
0 5 13
0 6 74
0 7 53
0 8 42
0 9 54
0 10 93
0 11 29
0 12 20
0 13 31
0 14 67
0 15 88
0 16 65
0 17 59
0 18 92
0 19 2
0 20 93
0 21 51
0 22 7
0 23 32
0 24 16
0 25 48
0 26 32
0 27 55
0 28 29
0 29 59
0 30 66
0 31 44
0 32 4
0 33 18
0 34 77
0 35 3
0 36 56
0 37 58
0 38 59
0 39 64
0 40 47
0 41 94
0 42 17
0 43 59
0 44 74
0 45 74
0 46 93
0 47 91
0 48 62
0 49 16
1 2 41
1 3 63
1 4 41
1 5 55
1 6 36
1 7 5
1 8 31
1 9 28
1 10 55
1 11 79
1 12 47
1 13 17
1 14 44
1 15 86
1 16 61
1 17 42
1 18 77
1 19 88
1 20 66
1 21 44
1 22 69
1 23 84
1 24 60
1 25 72
1 26 89
1 27 81
1 28 95
1 29 12
1 30 51
1 31 5
1 32 16
1 33 14
1 34 101
1 35 2
1 36 54
1 37 15
1 38 52
1 39 29
1 40 31
1 41 47
1 42 43
1 43 14
1 44 85
1 45 98
1 46 11
1 47 70
1 48 33
1 49 61
2 3 59
2 4 81
2 5 24
2 6 13
2 7 74
2 8 59
2 9 99
2 10 73
2 11 59
2 12 80
2 13 37
2 14 10
2 15 84
2 16 92
2 17 83
2 18 66
2 19 62
2 20 99
2 21 73
2 22 8
2 23 94
2 24 65
2 25 85
2 26 98
2 27 47
2 28 58
2 29 23
2 30 68
2 31 75
2 32 89
2 33 18
2 34 68
2 35 52
2 36 80
2 37 74
2 38 16
2 39 58
2 40 7
2 41 40
2 42 35
2 43 1
2 44 96
2 45 64
2 46 56
2 47 84
2 48 5
2 49 14
3 4 65
3 5 75
3 6 3
3 7 2
3 8 93
3 9 60
3 10 30
3 11 56
3 12 27
3 13 3
3 14 31
3 15 96
3 16 66
3 17 26
3 18 98
3 19 28
3 20 83
3 21 38
3 22 82
3 23 37
3 24 71
3 25 81
3 26 59
3 27 89
3 28 56
3 29 92
3 30 1
3 31 98
3 32 71
3 33 63
3 34 95
3 35 88
3 36 56
3 37 54
3 38 29
