100 4950
0 1 87
0 2 84
0 3 26
0 4 2
0 5 8
0 6 83
0 7 67
0 8 93
0 9 1
0 10 25
0 11 72
0 12 96
0 13 92
0 14 12
0 15 22
0 16 49
0 17 50
0 18 8
0 19 96
0 20 73
0 21 14
0 22 71
0 23 37
0 24 5
0 25 60
0 26 96
0 27 41
0 28 89
0 29 79
0 30 50
0 31 41
0 32 43
0 33 23
0 34 96
0 35 43
0 36 59
0 37 26
0 38 15
0 39 94
0 40 86
0 41 12
0 42 34
0 43 81
0 44 27
0 45 95
0 46 27
0 47 49
0 48 47
0 49 56
0 50 49
0 51 4
0 52 20
0 53 92
0 54 95
0 55 31
0 56 26
0 57 48
0 58 15
0 59 98
0 60 86
0 61 32
0 62 53
0 63 55
0 64 40
0 65 28
0 66 100
0 67 60
0 68 86
0 69 28
0 70 55
0 71 24
0 72 49
0 73 45
0 74 60
0 75 41
0 76 90
0 77 18
0 78 28
0 79 43
0 80 77
0 81 47
0 82 52
0 83 13
0 84 38
0 85 32
0 86 10
0 87 47
0 88 44
0 89 89
0 90 17
0 91 87
0 92 53
0 93 65
0 94 95
0 95 66
0 96 44
0 97 80
0 98 85
0 99 82
1 2 7
1 3 28
1 4 92
1 5 2
1 6 44
1 7 15
1 8 96
1 9 14
1 10 28
1 11 36
1 12 38
1 13 70
1 14 94
1 15 96
1 16 100
1 17 40
1 18 41
1 19 9
1 20 48
1 21 70
1 22 74
1 23 90
1 24 26
1 25 98
1 26 42
1 27 86
1 28 83
1 29 100
1 30 73
1 31 25
1 32 49
1 33 6
1 34 101
1 35 30
1 36 37
1 37 35
1 38 5
1 39 39
1 40 85
1 41 30
1 42 37
1 43 52
1 44 4
1 45 2
1 46 17
1 47 35
1 48 82
1 49 46
1 50 26
1 51 1
1 52 87
1 53 63
1 54 48
1 55 33
1 56 24
1 57 55
1 58 72
1 59 64
1 60 44
1 61 61
1 62 60
1 63 49
1 64 53
1 65 19
1 66 44
1 67 86
1 68 100
1 69 40
1 70 40
1 71 22
1 72 99
1 73 38
1 74 27
1 75 69
1 76 91
1 77 78
1 78 60
1 79 22
1 80 92
1 81 91
1 82 48
1 83 12
1 84 45
1 85 88
1 86 40
1 87 62
1 88 59
1 89 17
1 90 97
1 91 62
1 92 47
1 93 42
1 94 13
1 95 40
1 96 25
1 97 99
1 98 52
1 99 63
2 3 61
2 4 58
2 5 88
2 6 2
2 7 27
2 8 20
2 9 10
2 10 31
2 11 85
2 12 57
2 13 14
2 14 38
2 15 70
2 16 64
2 17 66
2 18 68
2 19 90
2 20 77
2 21 69
2 22 88
2 23 73
2 24 29
2 25 85
2 26 3
2 27 94
2 28 73
2 29 69
2 30 12
2 31 81
2 32 57
2 33 55
2 34 13
2 35 72
2 36 53
2 37 97
2 38 35
2 39 39
2 40 37
2 41 4
2 42 54
2 43 99
2 44 24
2 45 28
2 46 65
2 47 10
2 48 40
2 49 15
2 50 46
2 51 12
2 52 88
2 53 29
2 54 89
2 55 89
2 56 99
2 57 56
2 58 37
2 59 72
2 60 71
2 61 93
2 62 38
2 63 16
2 64 23
2 65 71
2 66 48
2 67 39
2 68 82
2 69 78
2 70 10
2 71 3
2 72 59
2 73 20
2 74 74
2 75 34
2 76 97
2 77 84
2 78 53
2 79 56
2 80 55
2 81 56
2 82 10
2 83 43
2 84 50
2 85 101
2 86 76
2 87 67
2 88 12
2 89 51
2 90 89
2 91 4
2 92 26
2 93 54
2 94 70
2 95 82
2 96 98
2 97 101
2 98 41
2 99 21
