100 4950
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 1
0 52 1
0 53 1
0 54 1
0 55 84
0 56 81
0 57 81
0 58 92
0 59 87
0 60 98
0 61 86
0 62 99
0 63 82
0 64 96
0 65 90
0 66 97
0 67 96
0 68 91
0 69 94
0 70 85
0 71 85
0 72 86
0 73 92
0 74 89
0 75 82
0 76 92
0 77 95
0 78 99
0 79 101
0 80 94
0 81 91
0 82 101
0 83 87
0 84 99
0 85 80
0 86 91
0 87 82
0 88 98
0 89 90
0 90 98
0 91 90
0 92 97
0 93 93
0 94 81
0 95 83
0 96 80
0 97 87
0 98 91
0 99 96
1 2 98
1 3 98
1 4 82
1 5 84
1 6 101
1 7 87
1 8 101
1 9 92
1 10 86
1 11 94
1 12 88
1 13 94
1 14 87
1 15 86
1 16 96
1 17 85
1 18 81
1 19 95
1 20 94
1 21 85
1 22 87
1 23 92
1 24 93
1 25 89
1 26 96
1 27 100
1 28 96
1 29 84
1 30 96
1 31 96
1 32 98
1 33 100
1 34 84
1 35 94
1 36 99
1 37 91
1 38 99
1 39 87
1 40 84
1 41 91
1 42 81
1 43 95
1 44 96
1 45 101
1 46 94
1 47 90
1 48 101
1 49 93
1 50 101
1 51 97
1 52 88
1 53 98
1 54 101
1 55 99
1 56 86
1 57 86
1 58 93
1 59 87
1 60 80
1 61 92
1 62 99
1 63 81
1 64 99
1 65 93
1 66 86
1 67 81
1 68 84
1 69 99
1 70 101
1 71 100
1 72 88
1 73 96
1 74 84
1 75 88
1 76 100
1 77 85
1 78 89
1 79 84
1 80 83
1 81 89
1 82 92
1 83 92
1 84 99
1 85 88
1 86 97
1 87 95
1 88 86
1 89 96
1 90 85
1 91 98
1 92 100
1 93 91
1 94 96
1 95 86
1 96 92
1 97 80
1 98 80
1 99 100
2 3 99
2 4 81
2 5 89
2 6 97
2 7 94
2 8 91
2 9 100
2 10 97
2 11 87
2 12 87
2 13 90
2 14 99
2 15 90
2 16 86
2 17 92
2 18 93
2 19 96
2 20 89
2 21 95
2 22 89
2 23 92
2 24 80
2 25 80
2 26 90
2 27 96
2 28 88
2 29 82
2 30 80
2 31 94
2 32 84
2 33 81
2 34 81
2 35 92
2 36 96
2 37 90
2 38 82
2 39 91
2 40 88
2 41 85
2 42 98
2 43 93
2 44 80
2 45 94
2 46 101
2 47 93
2 48 99
2 49 81
2 50 100
2 51 95
2 52 86
2 53 94
2 54 84
2 55 83
2 56 88
2 57 98
2 58 94
2 59 80
2 60 84
2 61 82
2 62 90
2 63 93
2 64 92
2 65 87
2 66 86
2 67 89
2 68 80
2 69 98
2 70 101
2 71 96
2 72 96
2 73 84
2 74 81
2 75 87
2 76 86
2 77 80
2 78 101
2 79 91
2 80 97
2 81 97
2 82 85
2 83 89
2 84 93
2 85 88
2 86 94
2 87 95
2 88 89
2 89 80
2 90 81
2 91 83
2 92 83
2 93 82
2 94 93
2 95 87
2 96 88
2 97 82
2 98 82
2 99 101
3 4 101
3 5 90
3 6 91
3 7 92
3 8 84
3 9 91
3 10 86
3 11 98
3 12 92
3 13 100
3 14 85
3 15 88
3 16 92
3 17 93
3 18 85
3 19 98
3 20 95
3 21 91
3 22 100
3 23 95
3 24 95
3 25 94
3 26 88
3 27 96
3 28 87
3 29 89
3 30 98
3 31 99
3 32 91
3 33 94
3 34 85
3 35 93
3 36 82
3 37 99
3 38 85
3 39 101
3 40 82
3 41 80
3 42 94
3 43 94
3 44 90
3 45 86
3 46 90
3 47 87
3 48 97
3 49 97
3 50 92
3 51 87
3 52 81
3 53 101
3 54 98
3 55 91
3 56 84
3 57 100
3 58 97
3 59 88
3 60 84
3 61 81
3 62 96
3 63 81
3 64 94
3 65 96
3 66 99
3 67 90
3 68 81
3 69 88
3 70 93
3 71 90
3 72 85
3 73 82
3 74 96
3 75 87
3 76 82
3 77 85
3 78 95
3 79 85
3 80 95
3 81 91
3 82 86
3 83 96
3 84 84
3 85 92
3 86 96
3 87 89
3 88 81
3 89 87
3 90 95
3 91 81
3 92 86
3 93 101
3 94 96
3 95 83
3 96 91
3 97 84
3 98 100
3 99 95
4 5 96
4 6 98
4 7 95
4 8 81
4 9 89
4 10 96
4 11 87
4 12 86
4 13 101
4 14 89
4 15 96
4 16 97
4 17 93
4 18 95
4 19 93
4 20 93
4 21 94
4 22 95
4 23 98
4 24 83
4 25 101
4 26 90
4 27 92
4 28 94
4 29 84
4 30 86
4 31 89
4 32 91
4 33 80
4 34 92
4 35 84
4 36 85
4 37 83
4 38 95
4 39 96
4 40 98
4 41 93
4 42 92
4 43 101
4 44 93
4 45 89
4 46 92
4 47 99
4 48 93
4 49 100
4 50 97
4 51 86
4 52 85
4 53 86
4 54 84
4 55 86
4 56 84
4 57 83
4 58 100
4 59 80
4 60 90
4 61 101
4 62 88
4 63 89
4 64 82
4 65 100
4 66 98
4 67 98
4 68 82
4 69 98
4 70 93
4 71 86
4 72 80
4 73 93
4 74 85
4 75 90
4 76 90
4 77 98
4 78 85
4 79 83
4 80 95
4 81 94
4 82 83
4 83 87
4 84 80
4 85 98
4 86 90
4 87 91
4 88 94
4 89 99
4 90 84
4 91 81
4 92 84
4 93 98
4 94 98
4 95 91
4 96 98
4 97 94
4 98 87
4 99 83
5 6 97
5 7 84
5 8 80
5 9 83
5 10 95
5 11 96
5 12 82
5 13 92
5 14 90
5 15 80
5 16 99
5 17 84
5 18 90
5 19 99
5 20 95
5 21 82
5 22 96
5 23 86
5 24 98
5 25 95
5 26 91
5 27 87
5 28 99
5 29 99
5 30 93
5 31 85
5 32 101
5 33 93
5 34 95
5 35 87
5 36 94
5 37 92
5 38 80
5 39 99
5 40 101
5 41 93
5 42 92
5 43 86
5 44 99
5 45 82
5 46 94
5 47 81
5 48 84
5 49 82
5 50 83
5 51 96
5 52 91
5 53 97
5 54 85
5 55 91
5 56 93
5 57 90
5 58 100
5 59 88
5 60 95
5 61 98
5 62 92
5 63 89
5 64 94
5 65 101
5 66 101
5 67 101
5 68 98
5 69 99
5 70 91
5 71 88
5 72 87
5 73 87
5 74 92
5 75 95
5 76 88
5 77 91
5 78 99
5 79 90
5 80 86
5 81 85
5 82 88
5 83 91
5 84 85
5 85 87
5 86 85
5 87 88
5 88 85
5 89 96
5 90 92
5 91 97
5 92 83
5 93 94
5 94 101
5 95 97
5 96 81
5 97 99
5 98 95
5 99 95
6 7 86
6 8 100
6 9 86
6 10 92
6 11 93
6 12 100
6 13 85
6 14 89
6 15 93
6 16 96
6 17 88
6 18 86
6 19 99
6 20 91
6 21 89
6 22 86
6 23 101
6 24 81
6 25 81
6 26 89
6 27 99
6 28 92
6 29 82
6 30 82
6 31 83
6 32 92
6 33 94
6 34 83
6 35 98
6 36 95
6 37 93
6 38 89
6 39 101
6 40 82
6 41 88
6 42 98
6 43 89
6 44 89
6 45 96
6 46 91
6 47 82
6 48 99
6 49 86
6 50 84
6 51 98
6 52 97
6 53 80
6 54 87
6 55 94
6 56 86
6 57 85
6 58 98
6 59 81
6 60 98
6 61 81
6 62 82
6 63 82
6 64 91
6 65 90
6 66 100
6 67 81
6 68 96
6 69 85
6 70 90
6 71 90
6 72 81
6 73 86
6 74 83
6 75 100
6 76 94
6 77 84
6 78 96
6 79 92
6 80 100
6 81 101
6 82 81
6 83 91
6 84 87
6 85 91
6 86 80
6 87 101
6 88 93
6 89 85
6 90 86
6 91 84
6 92 80
6 93 101
6 94 90
6 95 86
6 96 85
6 97 80
6 98 96
6 99 81
7 8 98
7 9 91
7 10 85
7 11 89
7 12 81
7 13 87
7 14 99
7 15 98
7 16 81
7 17 99
7 18 84
7 19 96
7 20 92
7 21 84
7 22 101
7 23 88
7 24 98
7 25 85
7 26 80
7 27 80
7 28 89
7 29 82
7 30 99
7 31 85
7 32 98
7 33 92
7 34 93
7 35 84
7 36 91
7 37 81
7 38 99
7 39 83
7 40 90
7 41 101
7 42 95
7 43 99
7 44 81
7 45 93
7 46 93
7 47 99
7 48 86
7 49 101
7 50 87
7 51 97
7 52 93
7 53 81
7 54 89
7 55 81
7 56 95
7 57 83
7 58 97
7 59 94
7 60 80
7 61 89
7 62 80
7 63 91
7 64 87
7 65 89
7 66 88
7 67 93
7 68 89
7 69 90
7 70 96
7 71 97
7 72 93
7 73 84
7 74 87
7 75 99
7 76 94
7 77 83
7 78 96
7 79 96
7 80 101
7 81 85
7 82 85
7 83 85
7 84 86
7 85 98
7 86 83
7 87 90
7 88 85
7 89 82
7 90 98
7 91 100
7 92 81
7 93 89
7 94 100
7 95 94
7 96 95
7 97 88
7 98 100
7 99 96
8 9 86
8 10 92
8 11 99
8 12 96
8 13 82
8 14 91
8 15 93
8 16 101
8 17 100
8 18 94
8 19 97
8 20 83
8 21 82
8 22 90
8 23 87
8 24 97
8 25 90
8 26 86
8 27 92
8 28 92
8 29 80
8 30 82
8 31 99
8 32 80
8 33 96
8 34 94
8 35 89
8 36 83
8 37 86
8 38 96
8 39 98
8 40 86
8 41 99
8 42 90
8 43 90
8 44 99
8 45 94
8 46 86
8 47 81
8 48 95
8 49 97
8 50 93
8 51 93
8 52 89
8 53 88
8 54 93
8 55 91
8 56 91
8 57 101
8 58 83
8 59 90
8 60 81
8 61 98
8 62 100
8 63 97
8 64 84
8 65 99
8 66 87
8 67 90
8 68 99
8 69 81
8 70 91
8 71 83
8 72 100
8 73 81
8 74 83
8 75 86
8 76 94
8 77 83
8 78 96
8 79 92
8 80 101
8 81 97
8 82 91
8 83 80
8 84 80
8 85 100
8 86 80
8 87 94
8 88 87
8 89 100
8 90 98
8 91 83
8 92 87
8 93 95
8 94 83
8 95 98
8 96 85
8 97 100
8 98 95
8 99 80
9 10 101
9 11 82
9 12 86
9 13 100
9 14 91
9 15 95
9 16 101
9 17 82
9 18 87
9 19 93
9 20 84
9 21 94
9 22 86
9 23 98
9 24 101
9 25 92
9 26 95
9 27 84
9 28 85
9 29 94
9 30 91
9 31 95
9 32 98
9 33 83
9 34 99
9 35 101
9 36 98
9 37 96
9 38 82
9 39 96
9 40 97
9 41 93
9 42 90
9 43 90
9 44 93
9 45 89
9 46 92
9 47 86
9 48 96
9 49 90
9 50 87
9 51 92
9 52 96
9 53 94
9 54 85
9 55 87
9 56 92
9 57 87
9 58 84
9 59 86
9 60 91
9 61 95
9 62 93
9 63 80
9 64 90
9 65 99
9 66 87
9 67 97
9 68 98
9 69 93
9 70 83
9 71 97
9 72 82
9 73 87
9 74 80
9 75 98
9 76 89
9 77 93
9 78 99
9 79 96
9 80 93
9 81 90
9 82 83
9 83 83
9 84 91
9 85 92
9 86 84
9 87 95
9 88 87
9 89 80
9 90 90
9 91 87
9 92 101
9 93 90
9 94 97
9 95 93
9 96 86
9 97 94
9 98 96
9 99 88
10 11 86
10 12 87
10 13 84
10 14 83
10 15 82
10 16 91
10 17 90
10 18 100
10 19 80
10 20 85
10 21 93
10 22 97
10 23 100
10 24 90
10 25 96
10 26 80
10 27 97
10 28 100
10 29 95
10 30 93
10 31 84
10 32 81
10 33 97
10 34 88
10 35 91
10 36 98
10 37 101
10 38 92
10 39 95
10 40 101
10 41 87
10 42 85
10 43 93
10 44 96
10 45 86
10 46 100
10 47 86
10 48 80
10 49 86
10 50 82
10 51 81
10 52 86
10 53 96
10 54 83
10 55 97
10 56 93
10 57 101
10 58 88
10 59 84
10 60 101
10 61 101
10 62 100
10 63 99
10 64 97
10 65 80
10 66 93
10 67 95
10 68 96
10 69 89
10 70 94
10 71 87
10 72 90
10 73 92
10 74 95
10 75 88
10 76 89
10 77 98
10 78 81
10 79 96
10 80 99
10 81 84
10 82 93
10 83 98
10 84 80
10 85 86
10 86 90
10 87 101
10 88 98
10 89 87
10 90 90
10 91 89
10 92 100
10 93 99
10 94 86
10 95 90
10 96 97
10 97 82
10 98 96
10 99 92
11 12 100
11 13 85
11 14 90
11 15 89
11 16 86
11 17 89
11 18 93
11 19 98
11 20 96
11 21 92
11 22 88
11 23 94
11 24 98
11 25 86
11 26 80
11 27 91
11 28 95
11 29 94
11 30 99
11 31 93
11 32 98
11 33 101
11 34 99
11 35 94
11 36 100
11 37 83
11 38 89
11 39 88
11 40 85
11 41 98
11 42 89
11 43 82
11 44 87
11 45 99
11 46 82
11 47 81
11 48 88
11 49 86
11 50 94
11 51 95
11 52 84
11 53 80
11 54 91
11 55 94
11 56 99
11 57 87
11 58 101
11 59 97
11 60 94
11 61 84
11 62 83
11 63 82
11 64 93
11 65 100
11 66 99
11 67 100
11 68 80
11 69 92
11 70 90
11 71 97
11 72 97
11 73 83
11 74 82
11 75 80
11 76 95
11 77 101
11 78 100
11 79 96
11 80 96
11 81 90
11 82 94
11 83 83
11 84 90
11 85 100
11 86 91
11 87 96
11 88 95
11 89 97
11 90 98
11 91 97
11 92 80
11 93 101
11 94 90
11 95 99
11 96 83
11 97 89
11 98 92
11 99 87
12 13 98
12 14 97
12 15 86
12 16 83
12 17 80
12 18 90
12 19 91
12 20 99
12 21 87
12 22 82
12 23 100
12 24 93
12 25 81
12 26 92
12 27 92
12 28 101
12 29 84
12 30 91
12 31 89
12 32 96
12 33 90
12 34 83
12 35 80
12 36 99
12 37 94
12 38 92
12 39 101
12 40 85
12 41 96
12 42 81
12 43 98
12 44 95
12 45 97
12 46 101
12 47 101
12 48 100
12 49 82
12 50 81
12 51 101
12 52 98
12 53 83
12 54 81
12 55 89
12 56 93
12 57 99
12 58 92
12 59 83
12 60 89
12 61 81
12 62 94
12 63 97
12 64 98
12 65 84
12 66 93
12 67 84
12 68 90
12 69 92
12 70 81
12 71 83
12 72 100
12 73 101
12 74 89
12 75 97
12 76 93
12 77 95
12 78 93
12 79 101
12 80 99
12 81 94
12 82 94
12 83 98
12 84 84
12 85 84
12 86 90
12 87 83
12 88 89
12 89 92
12 90 82
12 91 85
12 92 91
12 93 95
12 94 80
12 95 83
12 96 93
12 97 89
12 98 96
12 99 97
13 14 84
13 15 101
13 16 84
13 17 94
13 18 96
13 19 92
13 20 97
13 21 95
13 22 99
13 23 83
13 24 95
13 25 100
13 26 82
13 27 98
13 28 83
13 29 96
13 30 93
13 31 96
13 32 87
13 33 101
13 34 88
13 35 94
13 36 80
13 37 100
13 38 80
13 39 100
13 40 91
13 41 100
13 42 96
13 43 83
13 44 95
13 45 92
13 46 81
13 47 89
13 48 86
13 49 86
13 50 97
13 51 86
13 52 100
